Actor,Film,Year,Genre,Boxoffice (Cr),IMDb
Aamir Khan,PK,2014,Comedy/Sci-Fi,750,8.1
Salman Khan,Bajrangi Bhaijaan,2015,Drama/Action,922,8.1
Shah Rukh Khan,Jawan,2023,Action/Thriller,1148,7
Ranbir Kapoor,Animal,2023,Action/Drama,917,6.3
Vicky Kaushal,Chhaava,2025,Historical/Drama,808,7.3
Rajkummar Rao,Stree 2,2024,Horror/Comedy,852,6.9
Sunny Deol,Gadar 2,2023,Action/Drama,691,5.1
Ranbir Kapoor,Sanju,2018,Biography,586,7.6
Salman Khan,Sultan,2016,Sports/Drama,615,7.1
Hrithik Roshan,War,2019,Action/Thriller,475,6.5
Shahid Kapoor,Kabir Singh,2019,Romance/Drama,379,7
Akshay Kumar,Mission Mangal,2019,Drama/Sci-Fi,290,7.1
Ajay Devgn,Tanhaji,2020,Historical/Action,367,7.5
Ranveer Singh,Simmba,2018,Action/Comedy,400,5.8
Kartik Aaryan,Bhool Bhulaiyaa 2,2022,Horror/Comedy,266,6.8
Varun Dhawan,Judwaa 2,2017,Comedy/Action,227,3.6
Alia Bhatt,Raazi,2018,Thriller/Drama,195,7.7
Akshay Kumar,Toilet: Ek Prem Katha,2017,Drama/Comedy,311,7.2
Ayushmann Khurrana,Badhaai Ho,2018,Comedy/Drama,221,7.9
